date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-17,Ripley,9,18137,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Scott,9,18143,15,0,0,15,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Shelby,5,18145,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Spencer,10,18147,16,0,0,16,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,St. Joseph,2,18141,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Steuben,3,18151,10,0,0,10,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Switzerland,9,18155,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Tippecanoe,4,18157,5,0,0,5,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Tipton,6,18159,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Vanderburgh,10,18163,392,0,0,392,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Vigo,7,18167,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Wabash,3,18169,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Warrick,10,18173,73,0,0,73,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Washington,8,18175,10,0,0,10,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Wayne,6,18177,5,0,0,5,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Wells,3,18179,11,0,0,11,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Whitley,3,18183,28,0,0,28,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Adams,3,18001,90,0,0,90,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Allen,3,18003,626,0,0,626,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Bartholomew,8,18005,120,0,0,120,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Benton,4,18007,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Blackford,6,18009,9,0,0,9,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Boone,5,18011,296,0,0,296,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Brown,8,18013,8,0,0,8,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Carroll,4,18015,18,0,0,18,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Cass,4,18017,82,0,0,82,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Clark,9,18019,178,0,0,178,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Clay,7,18021,28,0,0,28,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Clinton,4,18023,20,1,0,21,1,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Crawford,10,18025,12,0,0,12,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Daviess,10,18027,35,0,0,35,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,De Kalb,3,18033,60,0,0,60,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Dearborn,9,18029,12,0,0,12,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Decatur,9,18031,64,0,0,64,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Delaware,6,18035,226,0,0,226,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Dubois,10,18037,222,0,0,222,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Elkhart,2,18039,442,0,0,442,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Fayette,6,18041,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Floyd,9,18043,133,0,0,133,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Fountain,4,18045,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Franklin,9,18047,16,0,0,16,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Fulton,2,18049,27,0,0,27,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Gibson,10,18051,13,0,0,13,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
